llparte,CodAcc2,aaaa,mes,dia,dia_mes,hora,horarecode,Ncod_canton,Ncod_distrito,NX_WGS84,NY_WGS84,lugar_hechos,Total_Involucrados,dano_ileso_sum,dano_leve_sum,dano_grave_sum,dano_muerto_sum
2014-64200060,Colisión con motocicleta,2014,Junio,Domingo,29,18,18:00-23:59,Heredia,San Francisco,-84.128285,9.995583335,Heredia-Heredia-San Francisco Costado este de Wallmart Heredia,3,2,1,0,0
2014-64200071,Colisión con motocicleta,2014,Setiembre,Sábado,6,12,12:00-17:59,Heredia,San Francisco,-84.15182667,9.990229999,Heredia-Heredia-San Francisco La Aurora costado Sur del Pali,2,1,1,0,0
2014-79900078,Colisión con motocicleta,2014,Abril,Domingo,6,10,06:00-11:59,Heredia,Ulloa,-84.13687852,9.968679526,Heredia-Heredia-Heredia Puente  casella,2,1,1,0,0
2014-84800005,Colisión con motocicleta,2014,Febrero,Viernes,21,7,06:00-11:59,Heredia,Ulloa,-84.12987167,9.968903336,Heredia-Heredia-Ulloa Ruta 106 de RTV Lagunilla 400 este,2,1,1,0,0
2014-89400015,Colisión con motocicleta,2014,Febrero,Miércoles,5,10,06:00-11:59,Heredia,Ulloa,-84.13497833,9.967510004,Heredia-Heredia-Ulloa RUTA  1  50 OESTE PUENTE RIO VIRILLA,2,1,1,0,0
2014-89400039,Colisión con motocicleta,2014,Febrero,Viernes,28,17,12:00-17:59,Heredia,Ulloa,-84.13624574,9.968234067,Heredia-Heredia-Ulloa RUTA  1 200 OESTE PUENTE RIO VIRILLA,2,1,1,0,0
2014-89400055,Colisión con motocicleta,2014,Marzo,Viernes,21,6,06:00-11:59,Heredia,Ulloa,-84.13794469,9.969141072,Heredia-Heredia-Ulloa RUTA  1 FRENTE AL LICEO DE ULLOA,2,1,1,0,0
2014-92000011,Colisión con motocicleta,2014,Enero,Viernes,17,9,06:00-11:59,Heredia,Ulloa,-84.15535667,9.982928336,Heredia-Heredia-Ulloa 200 MTS OESTE DEL CENADA,2,1,1,0,0
2014-92000049,Colisión con motocicleta,2014,Marzo,Viernes,28,18,18:00-23:59,Heredia,San Francisco,-84.14878167,9.992614999,Heredia-Heredia-San Francisco DE LOS TANQUES DE LA AURORA 100 MTS NORTE,2,1,0,1,0
2014-92000050,Colisión con motocicleta,2014,Marzo,Domingo,30,9,06:00-11:59,Heredia,San Francisco,-84.126825,9.992324997,Heredia-Heredia-San Francisco DEL LICEO MANUEL BENAVIDEZ  200 MTS OESTE,2,1,0,1,0
2014-92000071,Colisión con motocicleta,2014,Mayo,Jueves,1,10,06:00-11:59,Heredia,Heredia,-84.11923028,10.0039191,Heredia-Heredia-Heredia 100 MTS NORTE IGLESIA FATIMA,3,1,2,0,0
2014-92000077,Colisión con motocicleta,2014,Mayo,Miércoles,7,17,12:00-17:59,Heredia,Heredia,-84.11201615,9.994686548,Heredia-Heredia-Heredia CRUCE PIRRO 75 MTS SUR,2,0,2,0,0
2014-92000174,Colisión con motocicleta,2014,Setiembre,Sábado,20,9,06:00-11:59,Heredia,San Francisco,-84.13874667,9.991233334,Heredia-Heredia-San Francisco FRENTE A LA MUSMANI SANA CECILIA COSTADO NORTE,3,2,1,0,0
2014-92000186,Colisión con motocicleta,2014,Octubre,Jueves,2,9,06:00-11:59,Heredia,Heredia,-84.12355,10.00035,Heredia-Heredia-Heredia COSTADO NOROESTE ESTADIO HEREDIA,2,1,0,1,0
